OFFENCE_CODE,OFFENCE_DESCRIPTION,anzsoc,anzsoc_group_code_name,IS_DRIVING_UNDER_INFLUENCE_FLG,violent,alcohol,drug
W652,License Holder Failed To Comply With Every Condition Of License,1322,1322: Liquor and tobacco offences,N,,,
6356,Other Offence Animals Act,1690,1690: Other miscellaneous offences not further defined,N,,,
W653,Special Licensee Failed To Comply With Condition Of License,1322,1322: Liquor and tobacco offences,N,,,
9343,Give False Information,1549,"1549: Offences against government operations, nec",N,,,
W654,Licensee Failed To Give Notice Regardiing Manager,1322,1322: Liquor and tobacco offences,N,,,
9064,Threatening Or Resisting Customs Officer,1541,"1541: Resist or hinder government official (excluding police officer, justice official or government security officer)",N,,,
3926,Sell/Supply At Time Not Authorised,1322,1322: Liquor and tobacco offences,N,,,
7852,Other Offence Criminal Justice Act,1500,"1500: Offences against justice procedures, government security and government operations not further defined",N,,,
3262,Consume/Smoke/Use Cannabis Plant,1042,1042: Use illicit drugs,N,,,1
9922,Offence Against Abestos Regulations 1983,1691,1691: Environmental regulation offences,N,,,
5236,Breach Civil Aviation Act,1624,1624: Transport regulation offences,N,,,
7375,Improper Use Of A Distress Signal,1624,1624: Transport regulation offences,N,,,
9332,Sell Fish Contrary To Fisheries Act,1691,1691: Environmental regulation offences,N,,,
6396,Failed To Inspect A Trap,1334,1334: Cruelty to animals,N,,,
8145,Refuse Doctor/Authorised Person Blood Specimen,1562,1562: Resist or hinder police officer or justice official,N,,,
6314,Wilfully Abandon Animal,1334,1334: Cruelty to animals,N,,,
6712,Unlawful Cutting Forestry Produce,1691,1691: Environmental regulation offences,N,,,
7732,Breach Of Import Licence,1694,1694: Import/export regulations,N,,,
9221,Illegally Affects Fresh Water (Fish),1691,1691: Environmental regulation offences,N,,,
1150,Abortion,1690,1690: Other miscellaneous offences not further defined,N,,,
6200,Littering,1690,1690: Other miscellaneous offences not further defined,N,,,
3913,Licensee/Manager Keeps Open Premises Sale Contrary To Order,1322,1322: Liquor and tobacco offences,N,,,
3974,Occupier Allows U.P.To Be Kept As Place Of Resort,1322,1322: Liquor and tobacco offences,N,,,
9644,Profiteering,911,0911: Obtain benefit by deception,N,,,
6737,Other Offence Reserves & Domains Act,1691,1691: Environmental regulation offences,N,,,
A216,Alcohol Interlock Licensee's Breath Contained Alcohol - over 250mcgs,1431,1431: Exceed the prescribed content of alcohol or other substance limit,Y,,1,
6777,Offences Relating To Noxious Plants,1691,1691: Environmental regulation offences,N,,,
7134,Escape/Abscond Inst (A + D Act),1511,1511: Breach of custody offences,N,,,
K122,Licence Holder Failed To Disclose Name Of Driver,1624,1624: Transport regulation offences,N,,,
K132,Owner Or Hirer Failing To Give Information Re Driver,1624,1624: Transport regulation offences,N,,,
6711,Breach National Parks Act,1691,1691: Environmental regulation offences,N,,,
N348,Unauthorised Alternative Fuel Agency,1624,1624: Transport regulation offences,N,,,
9173,Failure To Comply With Obligations Of Probationary Owner,1690,1690: Other miscellaneous offences not further defined,N,,,
9231,Unlicensed Real Estate Agent,1631,1631: Commercial/industry/financial regulation,N,,,
T726,Taxi Driver Uses Threats Abuse Insults Or Gestures,1624,1624: Transport regulation offences,N,,,
T915,Goods Service Licensee Failing To Keep Time Record,1624,1624: Transport regulation offences,N,,,
T800,No Va Or Not Carried,1624,1624: Transport regulation offences,N,,,
T609,Hirer Driving Rental Car When Not Authorised,1624,1624: Transport regulation offences,N,,,
T920,Failing To Make Available Accounts And Records,1624,1624: Transport regulation offences,N,,,
9611,Offence Re Prospectus,931,0931: Fraudulent trade practices,N,,,
7355,Entering Nz Without Entry Permit,1543,1543: Immigration offences,N,,,
T725,Taxi Driver Using Obscene/Indecent/Foul Language,1624,1624: Transport regulation offences,N,,,
T734,Failing To Cease Plying For Hire Driver Not Clean And Tidy,1624,1624: Transport regulation offences,N,,,
6313,Cause Unnecessary Pain/Suffering To Animal,1334,1334: Cruelty to animals,N,,,
6775,Failing To Clear Water Hyacinth,1691,1691: Environmental regulation offences,N,,,
6776,Selling Uncleaned Seeds,1691,1691: Environmental regulation offences,N,,,
7376,Failing To Assist Vessel In Distress,1624,1624: Transport regulation offences,N,,,
9031,Fail To Classify A Dam,1629,"1629: Public health and safety offences, nec",N,,,
9033,Fail To Prepare/Submit Safety Assurance Programme,1629,"1629: Public health and safety offences, nec",N,,,
9313,Casting Rubbish Into A Harbour,1222,1222: Water pollution offences,N,,,
K131,Operated Vehicle Which Officer Directed Be Not Operated,1624,1624: Transport regulation offences,N,,,
K133,Owner Or Hirer Supplying False Information Re Driver,1624,1624: Transport regulation offences,N,,,
K325,Vehicle Recovery Service Vehicle Displayed Prohibited Advertising,1624,1624: Transport regulation offences,N,,,
K410,Rental Service Holder Failed To Explain Rental Agreement To Hirer,1624,1624: Transport regulation offences,N,,,
K411,Rental Service Holder Failed To Offer Hirer Vehicle Insurance,1624,1624: Transport regulation offences,N,,,
K602,Transport Service Licensee Fails To Notify Change Of Address,1624,1624: Transport regulation offences,N,,,
K603,Transport Licensee Fails To Notify Change Of Personnel,1624,1624: Transport regulation offences,N,,,
K606,Licensee Failed To Return Recovered Document To Director,1624,1624: Transport regulation offences,N,,,
K609,Driver Id Card Not Displayed In Small Passenger Service Vehic,1624,1624: Transport regulation offences,N,,,
K613,Small Psv Driver Failed To Carry Hirer's Luggage,1624,1624: Transport regulation offences,N,,,
K614,Small Psv Driver Failed To Check For Lost Property,1624,1624: Transport regulation offences,N,,,
K616,Small Psv Driver Carried Offensive Substance In Vehicle,1624,1624: Transport regulation offences,N,,,
K617,Small Psv Not Available For Hire Caused Obstruction,1624,1624: Transport regulation offences,N,,,
K618,Small Psv Inconsiderately Stopped In Road,1624,1624: Transport regulation offences,N,,,
K620,Small Psv Driver Not In Attendance Of Vehicle,1624,1624: Transport regulation offences,N,,,
K622,Small Psv Displayed Advertising On Windows,1624,1624: Transport regulation offences,N,,,
K623,Small Psv Displayed Adverts Obscuring Signs Or Notices,1624,1624: Transport regulation offences,N,,,
K624,Small Psv Had Advertising Material Impeding Vision,1624,1624: Transport regulation offences,N,,,
K639,Taxi Driver Impeded Traffic While Cruising,1624,1624: Transport regulation offences,N,,,
K640,Taxi Driver Failed To Display For Hire Sign While Cruising,1624,1624: Transport regulation offences,N,,,
K641,Taxi Driver Failed To Accept Hirer,1624,1624: Transport regulation offences,N,,,
K642,Taxi Driver Carried Unauthorised Person,1624,1624: Transport regulation offences,N,,,
K644,Taxi Driver Accepted Hire Within 20M Of Stand,1624,1624: Transport regulation offences,N,,,
K645,Taxi Driver Failed To Advise Hirer Of Change Of Tariff Setting,1624,1624: Transport regulation offences,N,,,
K646,Taxi Driver Used Stand When Not Available For Hire,1624,1624: Transport regulation offences,N,,,
K647,Taxi Driver Failed Take Correct Position On Stand,1624,1624: Transport regulation offences,N,,,
K648,Taxi Driver Failed To Move Forward On Stand,1624,1624: Transport regulation offences,N,,,
K650,Taxi Driver Accepted Multiple Hire Without Approval,1624,1624: Transport regulation offences,N,,,
K656,Taxi Failed Display Fares & Charges Inside Vehicle,1624,1624: Transport regulation offences,N,,,
K699,Shuttle Driver Failed To Take Up Position At Designated Stand,1624,1624: Transport regulation offences,N,,,
K706,Shuttle Driver Failed To Take Correct Position On Stand,1624,1624: Transport regulation offences,N,,,
K707,Shuttle Driver Failed To Move Forward On Stand,1624,1624: Transport regulation offences,N,,,
M258,Taxi Driver Displayed For Hire Sign During A Rest Break,1624,1624: Transport regulation offences,N,,,
N356,Causes/Allows Water Etc To Flow On Roads,1691,1691: Environmental regulation offences,N,,,
3933,Allows Disorderly Conduct On Premises,1322,1322: Liquor and tobacco offences,N,,,
3928,Allows Person To Become Intoxicated,1322,1322: Liquor and tobacco offences,N,,,
3976,Person Care/Management/Control Allows U.P. Kept As Resort,1322,1322: Liquor and tobacco offences,N,,,
3927,Sells/Supply To Intoxicated Person,1322,1322: Liquor and tobacco offences,N,,,
3313,Licensee Supply Intox Persons/Permit/Allow/Drunkenness,1322,1322: Liquor and tobacco offences,N,,,
3939,Other Licensee/Manager Liquor Offences,1322,1322: Liquor and tobacco offences,N,,,
3323,Managers Supply Intox Persons/Permit/Allow/Drunkenness,1322,1322: Liquor and tobacco offences,N,,,
3932,Allows Person On Premises Outside Licensed Hours,1322,1322: Liquor and tobacco offences,N,,,
3341,Unlicensed Person Sell/Supply/Keep Liquor For Sale,1322,1322: Liquor and tobacco offences,N,,,
R538,Allowed/Caused Harmful Substance To Escape Onto A Sealed/Paved Road,1229,"1229: Environmental pollution, nec",N,,,
T502,Obstructing Doorways Of Passenger Service Vehicle,1624,1624: Transport regulation offences,N,,,
A208,Alcohol Interlock Licensee's Breath Contained Alcohol - Over 400 mcgs,1431,1431: Exceed the prescribed content of alcohol or other substance limit,Y,,1,
A210,Alcohol Interlock Licensee's Blood Contained Alcohol - Over 80 mcgs,1431,1431: Exceed the prescribed content of alcohol or other substance limit,Y,,1,
W702,Took Action That Was Likely To Cause Serious Harm - Hse Act,1620,1620: Public health and safety offences not further defined,N,,,
W703,Failed To Take Action To Avert Serious Harm - Hse Act,1620,1620: Public health and safety offences not further defined,N,,,
N697,Failed to obtain an overdimension permit,1439,"1439: Regulatory driving offences, nec",N,,,
7374,Fail Assist Persons In Danger At Sea,1624,1624: Transport regulation offences,N,,,
T611,False Statement As To Age In Rental Agreement,1624,1624: Transport regulation offences,N,,,
T710,Taxicab Licencee Charges Excessive Fare,1624,1624: Transport regulation offences,N,,,
U207,Making False Statement On Waybill,1624,1624: Transport regulation offences,N,,,
T707,Taxi Driver Failing To Accept Hire,1624,1624: Transport regulation offences,N,,,
T603,Failed To Check Drivers Licence Before Hiring Car Out,1624,1624: Transport regulation offences,N,,,
T717,Permitting Multiple Hiring Of Taxicab,1624,1624: Transport regulation offences,N,,,
T605,Hiring Of Rental Car By Person Under 18,1624,1624: Transport regulation offences,N,,,
T607,Failing To Keep Register For Rental Vehicles,1624,1624: Transport regulation offences,N,,,
T721,Taxi Driver Departs From Shortest Route,1624,1624: Transport regulation offences,N,,,
3931,Allows Intoxicated Person To Remain On Premises,1322,1322: Liquor and tobacco offences,N,,,
3941,Purchase/Acquires To Supply Minor,1322,1322: Liquor and tobacco offences,N,,,
6343,Prohibition on using set net in area of Clarence Point to Slope Point,1690,1690: Other miscellaneous offences not further defined,N,,,
T709,Permitting Person Other Than Hirer To Ride In Taxi,1624,1624: Transport regulation offences,N,,,
9591,Individual fails to be tested,1622,1622: Disease prevention offences,N,,,
9592,PCBU Failure,1622,1622: Disease prevention offences,N,,,
T606,Failing To Enter Hire In Register,1624,1624: Transport regulation offences,N,,,
6778,Other Offence Noxious Plants Act,1691,1691: Environmental regulation offences,N,,,
7142,Failure To Answer Bail,1523,1523: Breach of bail,N,,,
6734,Lighting Fire Outside Fireplace,1691,1691: Environmental regulation offences,N,,,
A685,TSV driver had 2 or more QD in blood - listed QD over highrisk (3rd/sub),1431,1431: Exceed the prescribed content of alcohol or other substance limit,Y,,1,
1149,Other Infanticide,131,0131: Manslaughter,N,,,
9324,Breach Of Community Work,1521,1521: Breach of community service order,N,,,
K111,Failed To Produce Driver Identification Card On Demand,1624,1624: Transport regulation offences,N,,,
7377,Misdescribing Dangerous Goods (Ship),1624,1624: Transport regulation offences,N,,,
T916,Lending Or Parting With Goods Service Vehicle Authority,1624,1624: Transport regulation offences,N,,,
4149,Other Burglary,711,"0711: Unlawful entry with intent/burglary, break and enter",N,,,
3924,Employ person under 18 in restricted area,1322,1322: Liquor and tobacco offences,N,,,
9782,Breach Economic Stab Motorcar Hiring,1631,1631: Commercial/industry/financial regulation,N,,,
T714,Failing To Charge Prescribed Fares,1624,1624: Transport regulation offences,N,,,
T401,Unlawful Use Of Motor Vehicle As Passenger Service Vehicle,1624,1624: Transport regulation offences,N,,,
B143,Assaulting A Traffic Officer In The Execution Of His Duty,210,0210: Assault not further defined,N,1,,
T700,Taxicab Offences,1624,1624: Transport regulation offences,N,,,
T900,Other Transp Lic Offences,1624,1624: Transport regulation offences,N,,,
3441,Est/Conduct Illeg Lot/Raffle(>2Nd Offence),1321,1321: Betting and gambling offences,N,,,
T100,Unlicensed Goods Service,1624,1624: Transport regulation offences,N,,,
T731,Details Of Hiring Not In Logbook,1624,1624: Transport regulation offences,N,,,
6214,Dep/Leave Offensive Lit(Individual),1691,1691: Environmental regulation offences,N,,,
T704,Taxi Driver Failing To Carry Out Contract Of Hire,1624,1624: Transport regulation offences,N,,,
9785,Breach Public Revenues Act,1631,1631: Commercial/industry/financial regulation,N,,,
K504,Failed To Advise Presence Of Hazardous Substance,1625,1625: Dangerous substances offences,N,,,
K510,"Displayed DG Label, Placard or Marking - Dangerous Goods not Transported",1625,1625: Dangerous substances offences,N,,,
K514,Dangerous Goods Not Stowed Correctly Ship,1625,1625: Dangerous substances offences,N,,,
T905,Parting With Temporary Licence Or Cab Authority,1624,1624: Transport regulation offences,N,,,
T400,Unlicensed Passenger Service,1624,1624: Transport regulation offences,N,,,
7924,Person Under 18 Drank Liquor Public Place,1322,1322: Liquor and tobacco offences,N,,,
9229,Other Breaches  Conservation Act,1691,1691: Environmental regulation offences,N,,,
T213,Breach Of Rental Service Licence,1624,1624: Transport regulation offences,N,,,
6553,Used Offensive Language/Suggestion,1331,1331: Offensive language,N,,,
3979,Other Unlicensed Premises Liquor Offences,1322,1322: Liquor and tobacco offences,N,,,
7719,Other Offence Social Security Act,911,0911: Obtain benefit by deception,N,,,
7182,Breach Non Association Order,1532,1532: Breach of non-violence order,N,,,
5299,Other Endangering,499,"0499: Other dangerous or negligent acts endangering persons, nec",N,,,
6574,Renders Ineffective Fire Control Sign,499,"0499: Other dangerous or negligent acts endangering persons, nec",N,,,
6575,Interferes With Apparatus Or Fire Control Measures,499,"0499: Other dangerous or negligent acts endangering persons, nec",N,,,
9225,Breach Of Community Service Section 36(1)(A)(Ii) Of The Criminal Justice Act,1521,1521: Breach of community service order,N,,,
8631,Breach Air Services Licensing Act,1624,1624: Transport regulation offences,N,,,
9351,Breach Rock Lobster Regs,1691,1691: Environmental regulation offences,N,,,
1130,Manslaughter (Crimes Act S 177),131,0131: Manslaughter,N,,,
1140,Infanticide,131,0131: Manslaughter,N,,,
1141,Infanticide (Firearm),131,0131: Manslaughter,N,,,
1142,Infanticide (Other Weapon),131,0131: Manslaughter,N,,,
1144,Infanticide (Stabbing/Cutting Weapon),131,0131: Manslaughter,N,,,
1160,Aiding Suicide And Pact,131,0131: Manslaughter,N,,,
1199,Other Homicide,131,0131: Manslaughter,N,,,
A686,TSV driver had 2 or more QD in blood - Unlisted QD - CIT (3rd or sub),1431,1431: Exceed the prescribed content of alcohol or other substance limit,Y,,1,
N357,Contractor/Local Authority Failed To Mark Road Works,1624,1624: Transport regulation offences,N,,,
9666,Other Offence Trade & Industry Act,1631,1631: Commercial/industry/financial regulation,N,,,
7372,Breach Re Lifesaving Apparatus,1624,1624: Transport regulation offences,N,,,
T729,Taxi Driver Failing To Conduct Himself In A Civil Manner,1624,1624: Transport regulation offences,N,,,
9018,Failing To Display A Building Warrant Of Fitness,933,0933: Illegal non-fraudulent trade practices,N,,,
9019,Display False/Misleading Building Warrant Of Fitness,933,0933: Illegal non-fraudulent trade practices,N,,,
9853,Knowingly makes a statement that is false or misleading in any communication or document required under the Act,1631,1631: Commercial/industry/financial regulation,N,,,
9859,To falsely impersonate building consent authority or regional authority,933,0933: Illegal non-fraudulent trade practices,N,,,
9376,Officer Of Dept Flg To Maintain Secrecy,1559,"1559: Offences against government security, nec",N,,,
T711,Overcharging / Undercharging Taxi Fare Licencee,1624,1624: Transport regulation offences,N,,,
T912,No Certificate Of Loading,1624,1624: Transport regulation offences,N,,,
T209,Breach Of Goods Service Charges,1624,1624: Transport regulation offences,N,,,
T733,Tariff Indicator Lights Not Working,1624,1624: Transport regulation offences,N,,,
9927,Failure To Provide Information To Officer,1541,"1541: Resist or hinder government official (excluding police officer, justice official or government security officer)",N,,,
9952,"Owner or person in charge of arriving craft, or crew or passenger, refuses to answer Customs officer's questions",1541,"1541: Resist or hinder government official (excluding police officer, justice official or government security officer)",N,,,
9954,Crew or passenger fails to comply with Customs officer's direction,1541,"1541: Resist or hinder government official (excluding police officer, justice official or government security officer)",N,,,
9957,Person in charge of arriving  craft fails to comply with Customs direction relating to the movement of the craft or unloading of goods or disembarkation of pax,1541,"1541: Resist or hinder government official (excluding police officer, justice official or government security officer)",N,,,
9959,"Owner or person in charge of arriving craft, or crew or passenger, fails to comply immediately with Customs officer's request to produce documents",1541,"1541: Resist or hinder government official (excluding police officer, justice official or government security officer)",N,,,
9962,Person in charge of craft seeking clearance certificate refuses to answer CO's question,1541,"1541: Resist or hinder government official (excluding police officer, justice official or government security officer)",N,,,
9963,Person in charge of departing craft fails to produce certificate of clearance when required by Customs officer,1541,"1541: Resist or hinder government official (excluding police officer, justice official or government security officer)",N,,,
9964,Person in charge of departing craft refuses to answer Custom officer's question,1541,"1541: Resist or hinder government official (excluding police officer, justice official or government security officer)",N,,,
9970,Person with custody of seized goods fails to keep them safe or produce them when required,1541,"1541: Resist or hinder government official (excluding police officer, justice official or government security officer)",N,,,
